source,target,weight
2976169083,431876654,1
319639400,924497300361285632,1
3330139223,190175239,1
2800039531,98003645,1
1014963092,364147728,1
876286676,821364958310977538,1
2549528592,761322103681454080,1
2573661345,939395215437201410,1
627412337,3909035603,1
2703077037,3295676801,1
280124624,863544511,1
1014963092,465404417,1
2982472295,1964228874,1
2948791281,320406401,1
906114560922460161,874601569735643137,1
3879369021,919602314549366786,1
830438448,265513136,1
2573661345,2329418988,1
888999812082933760,45605628,1
3064353419,812245193827254272,1
123705679,885159891891040256,1
445305950,2285738774,1
22844335,12069882,1
196134777,937307177747873792,1
337972171,4195418153,1
876286676,907258779691089920,1
1049004954,867809666490810368,1
1049004954,837698878199771136,1
1049004954,825668865392832512,1
499793772,4056482543,1
2948791281,4195418153,1
3064353419,2613366038,1
2549528592,3564374416,1
2976169083,1148769174,1
906114560922460161,98003645,1
499793772,2832720903,1
2982472295,830438448,1
2991955251,3128204258,1
2231866127,53344962,1
724160358181642240,9323392,1
2734975089,2718861445,1
830438448,713982244583579648,1
2948791281,728174882643677184,1
2948791281,883090347550801921,1
700639918339428353,824368164444184578,1
786644755,804650214103650304,1
727508275453956096,2687317038,1
724160358181642240,934533552712114176,1
1049004954,2329639154,1
3330139223,1575630127,1
445305950,132928294,1
14169092,948073199027347456,1
830438448,1633121011,1
22844335,492607392,1
2165241247,878342430738620416,1
499793772,117414748,1
2948791281,3330139223,1
2231866127,829496594877792256,1
2991955251,1014963092,1
319639400,976677866,1
280124624,885784580464267265,1
2165241247,2286131628,1
46352298,42879949,1
700639918339428353,910178691786866689,1
700639918339428353,871048063615328256,1
830438448,3320796436,1
14169092,947448969692680192,1
882675697,3700442895,1
724160358181642240,880850289540165632,1
888999812082933760,863135335500451841,1
2165241247,2926214071,1
46352298,921636729181954049,1
337972171,881073107636801536,1
906114560922460161,771107252,1
14169092,947611849079640070,1
46352298,4777974285,1
2976169083,550510477,1
2976169083,3647176826,1
196134777,885159891891040256,1
1014963092,937459143526449152,1
226550182,2241004460,1
1014963092,944873458059677697,1
786644755,416584415,1
319639400,839155157564817409,1
882675697,486926327,1
445305950,42757887,1
